number,aoe2_taunt,arnold_quote,movie,mp3_filename,wem_filename,status,source_url,timestamp,notes
1,Yes,Affirmative.,Terminator 2: Judgment Day,arnold_taunt_001.mp3,Play_Taunt_1.wem,captured,https://www.realmofdarkness.net/audio/arnold/t2/affirmative.mp3,,Exact standalone soundboard clip.
2,No,Negative.,Terminator 2: Judgment Day,arnold_taunt_002.mp3,Play_Taunt_2.wem,captured,https://www.realmofdarkness.net/audio/arnold/t2/negative.mp3,,Exact standalone soundboard clip.
3,Food Please,All they want is food!,The Running Man,arnold_taunt_003.mp3,Play_Taunt_3.wem,captured,https://www.101soundboards.com/sounds/23540-lots-of-women-and-children-down-there-all-they-want-is-food-for-gods-sake,,Trim the lead-in and trailing “for God’s sake” to the approved words.
4,Wood Please,Down to the wood.,Kindergarten Cop,arnold_taunt_004.mp3,Play_Taunt_4.wem,captured,https://www.101soundboards.com/sounds/258792-down-to-the-wood-where-the-bluebells-grow-anywhere-anywhere-i-dont-know,,Trim after the approved opening words.
5,Gold Please,"Money. That’s what I need, money.",The Running Man,arnold_taunt_005.mp3,Play_Taunt_5.wem,captured,https://www.101soundboards.com/boards/115722-the-running-man-1987,,Combined two adjacent soundboard snippets into the approved line.
6,Stone Please,"Hand over the diamond, Garden Gal!",Batman & Robin,arnold_taunt_006.mp3,Play_Taunt_6.wem,captured,https://www.realmofdarkness.net/audio/arnold/freeze/handdiam.mp3,,Exact standalone soundboard clip.
7,Ahh,You got to help me remember.,Total Recall,arnold_taunt_007.mp3,Play_Taunt_7.wem,captured,https://www.101soundboards.com/sounds/66014841-you-got-to-help-me-remember,,Authentic Arnold film line from a ready-made soundboard clip. Replaces the approved “Now I remember.” wording which does not occur in the finished film.
8,"All Hail, King of the Losers",You’re a fucking choirboy compared to me! A choirboy!,End of Days,arnold_taunt_008.mp3,Play_Taunt_8.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/you_are_a_fucking_choir_boy_compared_to_me.mp3,,Approved line is present; trim any unwanted trailing context.
9,Oooh,You’re one ugly motherfucker.,Predator,arnold_taunt_009.mp3,Play_Taunt_9.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/what_an_ugly_mother_fucker.mp3,,Exact line with minor transcript wording difference.
10,I’ll Beat You Back to Age of Empires,You are terminated.,Terminator 3: Rise of the Machines,arnold_taunt_010.mp3,Play_Taunt_10.wem,captured,https://s3.us-east-2.amazonaws.com/arnoldum/you_are_terminated.mp3,,Exact line.
